Applied migrations:
1725368600_create_users_table at 2025-09-03T13:05:51.710Z
1725368700_create_business_tables at 2025-09-03T13:26:55.880Z
1734789000_add_projeto_members at 2025-09-03T15:08:56.637Z
1734791000_add_document_urls_to_projetos at 2025-09-03T15:25:48.386Z
1734792000_create_files_table at 2025-09-03T16:45:31.635Z
1734792100_fix_file_data_type at 2025-09-03T16:50:42.923Z
1734793000_create_contas_table at 2025-09-03T17:19:41.540Z
1734794000_remove_vinculo_from_contas at 2025-09-03T17:25:20.200Z
1734795000_create_contas_contabeis_tables at 2025-09-03T17:39:04.262Z
1734796000_create_produtos_table at 2025-09-03T20:08:13.092Z
1734797000_create_tipos_documento_table at 2025-09-03T20:56:38.889Z
1734798000_create_contas_pagar_system at 2025-09-03T21:16:07.375Z
1734799000_add_descricao_to_contas at 2025-09-03T21:33:29.129Z
1734800000_ensure_produtos_tables_exist at 2025-09-03T21:38:14.438Z
1734801000_create_contas_receber_system at 2025-09-03T22:18:49.317Z
1734802000_create_conta_pagar_orcamento_alocacao at 2025-09-04T10:20:25.289Z
1734803000_create_parametros_table at 2025-09-04T11:22:02.733Z
1734804000_create_transferencias_table at 2025-09-04T11:30:30.996Z
1734805000_create_previsao_aportes_table at 2025-09-04T12:19:20.146Z
1734806000_create_rateio_aportes_table at 2025-09-04T16:55:26.412Z
1734810000_add_password_and_reset_fields at 2025-09-05T14:14:43.704Z
1734820000_add_active_field_to_clientes at 2025-09-05T16:13:19.754Z
1734830000_create_matriz_system at 2025-09-05T20:29:48.230Z
1734835000_add_matriz_to_contas_pagar_receber at 2025-09-05T20:54:02.564Z
1734840000_add_entity_type_to_contas_receber at 2025-09-05T21:34:39.528Z
1734845000_make_cliente_id_nullable_in_contas_receber at 2025-09-05T21:52:59.159Z
1734850000_add_timezone_parameter at 2025-09-05T22:09:26.810Z
1734855000_create_aportes_table at 2025-09-05T22:27:05.256Z
1734860000_update_entity_type_constraint_for_aportes at 2025-09-05T22:40:54.699Z
1734865000_create_retiradas_table at 2025-09-05T23:13:40.389Z
1757024400_remove_retirada_contas_pagar_integration at 2025-09-06T12:58:19.050Z
1757024500_remove_aporte_contas_receber_integration at 2025-09-06T12:58:19.050Z
1757116200_create_estrutura_dre_system at 2025-09-08T11:45:27.125Z
1757116300_add_aporte_retirada_to_dre_tipos at 2025-09-08T13:13:51.200Z
1757136260_add_status_to_projetos at 2025-09-08T17:19:27.386Z
1757200000_create_kanban_system at 2025-09-08T18:03:43.969Z
1757210000_update_existing_projetos_to_first_column at 2025-09-08T18:20:20.708Z
1757400000_complete_supabase_migration at 2025-09-08T19:23:03.961Z
1757400001_supabase_app_structure at 2025-09-08T19:23:03.961Z
1757457108_add_destaque_to_contas at 2025-09-09T03:20:41.315Z
1757500000_fix_produtos_codigo_sequence at 2025-09-29T14:38:35.818Z
1758000000_fix_cascade_constraints at 2025-09-29T14:38:35.818Z
1758100000_create_contas_receber_faturamento_table at 2025-09-29T14:38:35.818Z
